Season,Episode,Title,Year of Release,IMDB Rating,Arco
6,183,Maxim Fujou! Ugoki Hajimeta Deathpiea!!,2004,9.0,Skypiea Arc
6,184,Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!,2004,8.1,Skypiea Arc
6,185,Mezameta Futari! Moeru Koi no Kyuushutsu Zensen,2004,8.7,Skypiea Arc
6,186,Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!,2004,8.0,Skypiea Arc
6,187,Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!,2004,7.9,Skypiea Arc
6,188,Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari,2004,7.9,Skypiea Arc
6,189,Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!,2004,9.0,Skypiea Arc
6,190,Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!,2004,8.1,Skypiea Arc
6,191,Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi,2004,8.2,Skypiea Arc
6,192,Kami no Kune no Kiseki! Tenshi no Todoita Love Song,2004,9.1,Skypiea Arc
6,193,Tatakai no Shuuen! Tooku Hibiku Hokori Takaki Fantasia,2004,8.0,Skypiea Arc
6,194,Ware Koko ni Itaru! Poneglyphs ga Tsumugu Mono,2004,8.0,Skypiea Arc
6,195,Iza Seikai e!! Omoi ga Orinasu Saishuu Gakushou,2004,7.9,Skypiea Arc
7,196,Hijoujitai Hatsurei! Akumei Takaki Kaisokusen Sennyuu!,2004,7.3,G-8 Arc
7,197,Ryourinin Sanji! Kaigun Shokudou de Shinka Hakki!,2004,7.5,G-8 Arc
7,198,Torawareru Zoro to Chopper Kinkyuu Shittou,2004,7.3,G-8 Arc
7,199,Semaru Kaigun no Sousa mou! Torawareta Futari Me!,2004,7.6,G-8 Arc
7,200,Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!,2004,7.7,G-8 Arc
7,201,Nekketsu Tokubetsu Butai Sansen! Bridge Koubousen!,2004,7.5,G-8 Arc
7,202,Houi Mou Toppa! Dakkan Going Merry Gou,2004,7.5,G-8 Arc
7,203,Kieta Kaizokusen! Yousai Koubou Dai 2 Round,2004,7.3,G-8 Arc
